date,year,month,day,time,season,time_period,borough,location_type,event_type,category,attendance,kids_friendly,senior_friendly,adults_only
2021-07-30,2021,Jul,30,00:00:00,Summer,Midnight,Staten Island,Pool,Community Based Event,Nature,6,TRUE,FALSE,FALSE
2021-07-29,2021,Jul,29,15:00:00,Summer,Afternoon,Queens,Pool,Community Based Event,Nature,0,TRUE,FALSE,FALSE
2021-08-05,2021,Aug,5,15:00:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,16,TRUE,FALSE,FALSE
2021-07-29,2021,Jul,29,00:00:00,Summer,Midnight,Bronx,Pool,Community Based Event,Nature,0,TRUE,FALSE,FALSE
2021-07-29,2021,Jul,29,15:00:00,Summer,Afternoon,Manhattan,Pool,Community Based Event,Nature,20,TRUE,FALSE,FALSE
2021-07-30,2021,Jul,30,00:00:00,Summer,Midnight,Queens,Pool,Community Based Event,Nature,18,TRUE,FALSE,FALSE
2021-08-05,2021,Aug,5,11:00:00,Summer,Morning,Bronx,Pool,Community Based Event,Mobile Unit,8,TRUE,TRUE,FALSE
2021-08-06,2021,Aug,6,14:45:00,Summer,Afternoon,Staten Island,Pool,Agency Produced Event,Nature,2,TRUE,TRUE,FALSE
2021-08-06,2021,Aug,6,15:00:00,Summer,Afternoon,Queens,Pool,Agency Produced Event,Nature,9,TRUE,FALSE,FALSE
2021-08-05,2021,Aug,5,15:00:00,Summer,Afternoon,Manhattan,Pool,Agency Produced Event,Nature,17,TRUE,TRUE,FALSE
2021-08-05,2021,Aug,5,15:00:00,Summer,Afternoon,Queens,Pool,Agency Produced Event,Nature,14,TRUE,TRUE,FALSE
2021-08-09,2021,Aug,9,14:45:00,Summer,Afternoon,Staten Island,Pool,Agency Produced Event,Nature,12,TRUE,TRUE,FALSE
2021-08-10,2021,Aug,10,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,3,TRUE,TRUE,FALSE
2021-08-10,2021,Aug,10,15:00:00,Summer,Afternoon,Bronx,Park,Agency Produced Event,Nature,9,TRUE,TRUE,FALSE
2021-08-10,2021,Aug,10,11:00:00,Summer,Morning,Bronx,Pool,Community Based Event,Mobile Unit,32,TRUE,TRUE,FALSE
2021-08-11,2021,Aug,11,14:45:00,Summer,Afternoon,Manhattan,Pool,Community Based Event,Nature,15,TRUE,TRUE,FALSE
2021-08-12,2021,Aug,12,15:00:00,Summer,Afternoon,Queens,Pool,Agency Produced Event,Nature,13,TRUE,FALSE,FALSE
2021-08-12,2021,Aug,12,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,13,TRUE,FALSE,FALSE
2021-08-13,2021,Aug,13,14:30:00,Summer,Afternoon,Staten Island,Pool,Agency Produced Event,Nature,30,TRUE,TRUE,FALSE
2021-08-05,2021,Aug,5,15:00:00,Summer,Afternoon,Manhattan,Pool,Agency Produced Event,Nature,8,TRUE,TRUE,FALSE
2021-08-13,2021,Aug,13,15:05:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,62,TRUE,FALSE,FALSE
2021-08-13,2021,Aug,13,15:00:00,Summer,Afternoon,Queens,Pool,Agency Produced Event,Nature,34,TRUE,TRUE,FALSE
2021-08-12,2021,Aug,12,15:00:00,Summer,Afternoon,Manhattan,Pool,Agency Produced Event,Nature,25,TRUE,TRUE,FALSE
2021-08-16,2021,Aug,16,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,19,TRUE,FALSE,FALSE
2021-08-16,2021,Aug,16,14:30:00,Summer,Afternoon,Staten Island,Pool,Agency Produced Event,Nature,12,TRUE,TRUE,FALSE
